id,user_id,tracked_at,longitude,latitude,elevation,accuracy
0,0,2024-01-15 08:18:00+00:00,114.281176,30.58611,58.9,14.1
1,0,2024-01-15 08:19:00+00:00,114.281682,30.585988,27.6,13.6
2,0,2024-01-15 08:20:00+00:00,114.281083,30.58609,42.7,9.3
3,0,2024-01-15 08:21:00+00:00,114.281189,30.58613,40.3,11.8
4,0,2024-01-15 08:22:00+00:00,114.281209,30.585941,57.2,14.9
5,0,2024-01-15 08:23:00+00:00,114.281401,30.586346,45.6,9.2
6,0,2024-01-15 08:24:00+00:00,114.281054,30.586153,23.8,8.8
7,0,2024-01-15 08:25:00+00:00,114.281486,30.58609,54.2,14.9
8,0,2024-01-15 08:26:00+00:00,114.281399,30.586523,63.4,4.7
9,0,2024-01-15 08:27:00+00:00,114.281204,30.586003,70.5,12.1
10,0,2024-01-15 08:28:00+00:00,114.281341,30.586518,53.1,8.6
11,0,2024-01-15 08:29:00+00:00,114.280993,30.586142,41.3,7.2
12,0,2024-01-15 08:30:00+00:00,114.281581,30.586415,54.3,11.4
13,0,2024-01-15 08:31:00+00:00,114.281044,30.585995,36.4,3.2
14,0,2024-01-15 08:32:00+00:00,114.282014,30.586063,35.0,7.8
15,0,2024-01-15 08:33:00+00:00,114.281205,30.586124,52.2,10.6
16,0,2024-01-15 08:34:00+00:00,114.281547,30.586493,40.7,12.6
17,0,2024-01-15 08:35:00+00:00,114.281243,30.585592,23.1,11.1
18,0,2024-01-15 08:36:00+00:00,114.281689,30.585593,46.2,14.8
19,0,2024-01-15 08:37:00+00:00,114.281383,30.586046,32.7,8.4
20,0,2024-01-15 08:38:00+00:00,114.280774,30.586102,45.2,14.3
21,0,2024-01-15 08:39:00+00:00,114.281635,30.586567,67.1,13.3
22,0,2024-01-15 08:40:00+00:00,114.281109,30.586092,54.7,14.1
23,0,2024-01-15 08:41:00+00:00,114.281095,30.586425,31.4,8.7
24,0,2024-01-15 08:42:00+00:00,114.281573,30.585824,51.2,5.0
25,0,2024-01-15 08:43:00+00:00,114.281577,30.585592,50.0,13.5
26,0,2024-01-15 08:44:00+00:00,114.281434,30.585969,27.9,13.1
27,0,2024-01-15 08:45:00+00:00,114.281102,30.585952,29.0,7.4
28,0,2024-01-15 08:46:00+00:00,114.28194,30.586658,40.5,11.0
29,0,2024-01-15 08:47:00+00:00,114.281851,30.586116,56.7,6.7
30,0,2024-01-15 08:48:00+00:00,114.2814,30.5862,17.9,12.1
31,0,2024-01-15 08:49:50+00:00,114.282811,30.583898,35.0,17.6
32,0,2024-01-15 08:51:40+00:00,114.288782,30.582723,23.4,18.8
33,0,2024-01-15 08:53:30+00:00,114.292132,30.579352,9.5,15.9
34,0,2024-01-15 08:55:20+00:00,114.293354,30.579467,22.4,14.6
35,0,2024-01-15 08:57:10+00:00,114.297651,30.577593,26.1,7.9
36,0,2024-01-15 08:59:00+00:00,114.300545,30.574451,46.8,18.7
37,0,2024-01-15 09:00:50+00:00,114.302874,30.572332,33.1,12.6
38,0,2024-01-15 09:02:40+00:00,114.306169,30.570881,34.8,17.2
39,0,2024-01-15 09:04:30+00:00,114.310305,30.568362,16.7,9.3
40,0,2024-01-15 09:06:20+00:00,114.311279,30.567927,36.8,8.5
41,0,2024-01-15 09:08:10+00:00,114.316336,30.566462,37.8,16.1
42,0,2024-01-15 09:10:00+00:00,114.319797,30.563844,18.6,10.5
43,0,2024-01-15 09:11:50+00:00,114.321405,30.560432,48.5,13.7
44,0,2024-01-15 09:13:40+00:00,114.326211,30.561284,46.1,14.1
45,0,2024-01-15 09:15:30+00:00,114.328785,30.558521,38.3,14.9
46,0,2024-01-15 09:17:20+00:00,114.332143,30.556452,18.5,14.0
47,0,2024-01-15 09:19:10+00:00,114.334308,30.553107,21.3,6.3
48,0,2024-01-15 09:21:00+00:00,114.336672,30.552434,24.5,15.2
49,0,2024-01-15 09:22:50+00:00,114.340316,30.550689,14.8,6.7
50,0,2024-01-15 09:24:40+00:00,114.341925,30.548867,47.9,18.0
51,0,2024-01-15 09:26:30+00:00,114.346186,30.547375,19.4,18.4
52,0,2024-01-15 09:28:20+00:00,114.350498,30.544367,14.2,13.4
53,0,2024-01-15 09:30:10+00:00,114.352401,30.542783,43.4,12.9
54,0,2024-01-15 09:32:00+00:00,114.3562,30.5413,19.8,18.8
55,0,2024-01-15 09:32:00+00:00,114.356458,30.541553,72.0,11.6
56,0,2024-01-15 09:33:00+00:00,114.356515,30.541081,67.9,5.6
57,0,2024-01-15 09:34:00+00:00,114.356713,30.541266,62.0,7.0
58,0,2024-01-15 09:35:00+00:00,114.356103,30.541178,74.2,3.4
59,0,2024-01-15 09:36:00+00:00,114.355486,30.541259,77.5,13.3
60,0,2024-01-15 09:37:00+00:00,114.356379,30.540996,35.6,11.4
61,0,2024-01-15 09:38:00+00:00,114.356008,30.541002,38.6,7.6
62,0,2024-01-15 09:39:00+00:00,114.356082,30.541161,60.2,3.6
63,0,2024-01-15 09:40:00+00:00,114.355679,30.541426,39.0,14.1
64,0,2024-01-15 09:41:00+00:00,114.356354,30.541259,55.4,10.9
65,0,2024-01-15 09:42:00+00:00,114.356428,30.540876,79.7,7.9
66,0,2024-01-15 09:43:00+00:00,114.356188,30.541496,47.5,13.8
67,0,2024-01-15 09:44:00+00:00,114.356791,30.54143,32.4,5.7
68,0,2024-01-15 09:45:00+00:00,114.356356,30.541542,70.7,4.2
69,0,2024-01-15 09:46:00+00:00,114.356369,30.541248,39.6,10.6
70,0,2024-01-15 09:47:00+00:00,114.356023,30.541349,71.3,3.3
71,0,2024-01-15 09:48:00+00:00,114.356456,30.54144,62.2,6.7
72,0,2024-01-15 09:49:00+00:00,114.356658,30.541836,59.0,9.3
73,0,2024-01-15 09:50:00+00:00,114.356396,30.541412,23.7,9.6
74,0,2024-01-15 09:51:00+00:00,114.356116,30.541324,51.6,3.2
75,0,2024-01-15 09:52:00+00:00,114.355543,30.541603,51.6,6.2
76,0,2024-01-15 09:53:00+00:00,114.356236,30.541268,68.5,6.4
77,0,2024-01-15 09:54:00+00:00,114.356368,30.541538,67.1,6.9
78,0,2024-01-15 09:55:00+00:00,114.355885,30.541381,60.2,5.8
79,0,2024-01-15 09:56:00+00:00,114.355916,30.541621,31.1,14.8
80,0,2024-01-15 09:57:00+00:00,114.355673,30.540906,22.3,3.7
